exon_phyloP100way	7.44201405191131	405.814684743013	5.98092664002876e-13	0.15226582639329	0.261585775249342
stop_phastCons100way	11.2116531700905	403.361713404997	1.40276491186393e-25	0.217691497016418	0.310263695102282
stop_phyloP100way	11.2123538954842	404.371539887152	1.37045011333373e-25	0.404564405641672	0.576588749113173
Fallopian.Tube	11.6988923380497	415.504359957851	1.59595548945256e-27	0.0643439291874834	0.0903333608577448
start_phyloP100way	14.1018627090207	404.546658474661	5.17203253096466e-37	0.313458561373153	0.415009344701501
start_phastCons100way	15.5085233901755	402.358654040169	7.39109286229315e-43	0.329819506982052	0.425574015236613
exon_phastCons100way	18.5231354850166	407.70039851848	5.09154496907167e-56	0.25737250796151	0.318486541726397
num_homologs_with_uORFs	19.5955321507376	409.338208572458	8.6451217922029e-61	0.243645525246731	0.297980093380376
Tissue.Entropy	21.2378455959269	404.096416549993	9.09671933193569e-68	0.692352925596979	0.83360071858143
aa_len	23.5635580400929	408.666609650183	3.68841580848495e-78	0.518759364727153	0.61319223470031
start_initiating	31.4932472205584	401.462685082977	1.58089137428788e-110	1.81036670347736	2.05143013110579
Brain	32.8639660481134	402.737493634924	4.80832366522807e-116	1.0935927460087	1.23275104572161
Liver	32.8772908933875	402.842023188504	4.14185915986602e-116	1.1376618171151	1.28236532662121
Skin	33.3512457200492	402.801749684813	6.15800173314982e-118	1.12101934310562	1.26145285733834
Testis	33.4670168830001	404.579030282051	1.30005816997891e-118	1.44101395518183	1.62086820414368
Blood.Vessel	33.536560080217	403.812911237055	8.80808261493119e-119	1.08902447469577	1.22464801388306
Small.Intestine	34.3768799424605	403.213729388126	6.44358405442929e-122	1.54752574549473	1.73525367473623
Salivary.Gland	34.4102405397839	403.047173285149	5.06987718138326e-122	1.15768790719188	1.29798099950843
Pituitary	34.464862808576	403.018901298536	3.1729693638935e-122	1.11936093505676	1.25478145774775
Breast	34.5435058033173	403.421341198306	1.40630666293769e-122	1.55732145071101	1.74527111723313
Vagina	34.7379887358232	402.849137449923	3.09351680117428e-123	1.13525172909946	1.27145027727593
Blood	34.9067364000532	403.547785187298	5.702839139579e-124	1.5248983759454	1.70690546728501
Stomach	35.3910856153872	403.675420677899	8.24107273421241e-126	1.56778655004712	1.75220089763741
Spleen	35.4897672196606	403.756183979071	3.42521518945447e-126	1.54120375256019	1.72195748369265
Heart	35.7154228585684	403.11216536268	6.08919101265946e-127	1.1819134445337	1.31960318194971
mean_expression	35.7455679733425	403.651557544128	3.92498106849066e-127	1.62135809363358	1.8100725866157
Muscle	35.8394734252163	403.964034571434	1.57856825506395e-127	1.13473047781232	1.26643852952755
Bladder	35.993608010189	403.83438731799	4.40065836978087e-128	1.54759886779694	1.7264150307491
Thyroid	36.2978324859504	403.804858683359	3.30721928012927e-129	1.62171380383991	1.80743314537474
Cervix.Uteri	36.3594069845493	404.020003061299	1.81776055469637e-129	1.62632835277348	1.81224240181464
stop_elongating_A	36.5397868825848	404.154204875711	3.74091304982177e-130	1.08277372860452	1.20590531817161
Colon	36.5863467971897	403.872301341327	2.77839010682865e-130	1.63997241516206	1.82621750018445
Ovary	36.5975901960366	403.000409945786	3.42175719258975e-130	1.65093723254172	1.83836796598566
Adrenal.Gland	36.6842165731485	404.451810833175	9.89597935898627e-131	1.65893178524535	1.84679806735776
Prostate	36.7290674411136	403.655473665657	8.93931245213547e-131	1.69117386573445	1.88244551711514
Esophagus	37.6728984472375	403.722786005546	3.1245261056226e-134	1.65940519052465	1.84212287064163
Nerve	37.7958253357371	404.440724142838	8.60970403535364e-135	1.60254939177022	1.77840027347346
Bone.Marrow	37.9624969786136	403.893329182242	2.62761124694256e-135	1.68820510353706	1.87259820063656
Adipose.Tissue	38.2706568258037	404.174492040281	1.83395867312342e-136	1.61548106387666	1.79043281057043
Kidney	38.3612006915636	404.235918074174	8.46999704493036e-137	1.66265235956446	1.84226457799016
Pancreas	39.1566647807349	403.950439707562	1.36503657911784e-139	1.72902868068154	1.91181673374509
Uterus	39.8400294398456	405.596693150222	2.73606574257297e-142	1.17784355306	1.3001136078336
start_elongating_A	40.2331714484287	404.171534668354	2.02705240193355e-143	1.56203702639662	1.72252548670362
Lung	40.5244950796608	404.407479992252	1.77554047851158e-144	1.70037196276456	1.87375312969968
stop_elongating_footprints	47.1123954459017	406.859899051105	7.42794806634347e-167	1.71071682998022	1.85969586590511
start_elongating_footprints	53.0083367599583	405.892977970534	1.59668077200012e-184	1.73806912769624	1.87194737700061
exon_elongating_footprints	64.6082953537919	409.419681409253	7.35198588204534e-217	1.87285121911723	1.99039451896356
exon_elongating_A	68.2649713354666	410.401379107192	3.68506189212946e-226	1.94644403039405	2.06186754873422
