aa_len	1	2.41611483371058
exon_phyloP100way	2	12.334400220262
phylocsf_max	3	16.1201002662976
stop_phyloP100way	4	16.3251686386585
stop_phastCons100way	5	18.7577279051037
Fallopian.Tube	6	20.807752771596
exon_phastCons100way	7	20.9860631993028
start_phyloP100way	8	29.6514300059566
num_homologs_with_uORFs	9	30.3308385807252
start_phastCons100way	10	30.3736472295173
Tissue.Entropy	11	32.3918662478232
Liver	12	51.1143719748628
Testis	13	51.746305544662
Adrenal.Gland	14	59.5074867956603
Pituitary	15	59.6179556570452
Uterus	16	59.8629695547188
start_initiating	17	59.8803501539299
Esophagus	18	61.1601206168912
Brain	19	61.84844208871
Spleen	20	61.893695740608
Nerve	21	62.0201016106003
Adipose.Tissue	22	62.9317806758488
Prostate	23	63.2056973649235
Blood.Vessel	24	63.3162265796671
Blood	25	63.9653512580471
Bladder	26	64.0294390335592
Kidney	27	64.0839289783549
mean_expression	28	64.0868072413571
Breast	29	64.1584993864783
Stomach	30	64.8514961208501
stop_elongating_A	31	64.9631941553063
Bone.Marrow	32	65.0048309768314
Cervix.Uteri	33	65.132292046337
Colon	34	65.4273787045514
Small.Intestine	35	65.5571340180845
Muscle	36	65.763919291826
Thyroid	37	65.9114198294138
Skin	38	65.9784971638821
Heart	39	66.0100106972056
Salivary.Gland	40	66.1907160340026
Ovary	41	66.8067235628778
start_elongating_A	42	67.8537007404612
Lung	43	68.5854013660061
Pancreas	44	70.3895281035381
stop_elongating_footprints	45	72.5710131868044
exon_elongating_A	46	77.2510660571581
Vagina	47	78.0115049695188
start_elongating_footprints	48	82.0539554973298
exon_elongating_footprints	49	82.1029140023847
